# Generation	mean_fitness
1302	30.801
1303	30.801
1304	30.801
1305	30.801
1306	30.801
1307	30.801
1308	30.801
1309	30.801
1310	30.801
1311	30.801
1312	30.801
1313	30.801
1314	30.801
1315	30.801
1316	30.801
1317	30.801
1318	30.801
1319	30.801
1320	30.801
1321	30.801
1322	30.801
1323	30.801
1324	30.801
1325	30.801
1326	30.801
1327	30.801
1328	30.801
1329	30.801
1330	30.801
1331	30.801
1332	30.801
1333	30.801
1334	30.801
1335	30.801
1336	30.801
1337	30.801
1338	30.801
1339	30.801
1340	30.801
1341	30.801
1342	30.801
1343	30.801
1344	30.801
1345	30.801
1346	30.801
1347	30.801
1348	30.801
1349	30.801
1350	30.801
1351	30.801
1352	30.801
1353	30.801
1354	30.801
1355	30.801
1356	30.801
1357	30.801
1358	30.801
1359	30.801
1360	30.801
1361	30.801
1362	30.801
1363	30.801
1364	30.801
1365	30.801
1366	30.801
1367	30.801
1368	30.801
1369	30.801
1370	30.801
1371	30.801
1372	30.801
1373	30.801
1374	30.801
1375	30.801
1376	30.801
1377	30.801
1378	30.801
1379	30.801
1380	30.801
1381	30.801
1382	30.801
1383	30.801
1384	30.801
1385	30.801
1386	30.801
1387	30.801
1388	30.801
1389	30.801
1390	30.801
1391	30.801
1392	30.801
1393	30.801
1394	30.801
1395	30.801
1396	30.801
1397	30.801
1398	30.801
1399	30.801
1400	30.801
1401	30.801
1402	30.801
1403	30.801
1404	30.801
1405	30.801
1406	30.801
1407	30.801
1408	30.801
1409	30.801
1410	30.801
1411	30.801
1412	30.801
1413	30.801
1414	30.801
1415	30.801
1416	30.801
1417	30.801
1418	30.801
1419	30.801
1420	30.801
1421	30.801
1422	30.801
1423	30.801
1424	30.801
1425	30.801
1426	30.801
1427	30.801
1428	30.801
1429	30.801
1430	30.801
1431	30.801
1432	30.801
1433	30.801
1434	30.801
1435	30.801
1436	30.801
1437	30.801
1438	30.801
1439	30.801
1440	30.801
1441	30.801
1442	30.801
1443	30.801
1444	30.801
1445	30.801
1446	30.801
1447	30.801
1448	30.801
1449	30.801
1450	30.801
1451	30.801
1452	30.801
1453	30.801
1454	30.801
1455	30.801
1456	30.801
1457	30.801
1458	30.801
1459	30.801
1460	30.801
1461	30.801
1462	30.801
1463	30.801
1464	30.801
1465	30.801
1466	30.801
1467	30.801
1468	30.801
1469	30.801
1470	30.801
1471	30.801
1472	30.801
1473	30.801
1474	30.801
1475	30.801
1476	30.801
1477	30.801
1478	30.801
1479	30.801
1480	30.801
1481	30.801
1482	30.801
